id;name;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;;;;grouped label;category
527;desktop computer;artifact, artefact;instrumentality, instrumentation;device;machine;computer, computing machine, computing device, data processor, electronic computer, information processing system;digital computer;personal computer, PC, microcomputer; ; ; ; ; ;;;;;
620;laptop, laptop computer;artifact, artefact;instrumentality, instrumentation;device;machine;computer, computing machine, computing device, data processor, electronic computer, information processing system;digital computer;personal computer, PC, microcomputer;portable computer; ; ; ; ;;;;;
590;hand-held computer, hand-held microcomputer;artifact, artefact;instrumentality, instrumentation;device;machine;computer, computing machine, computing device, data processor, electronic computer, information processing system;digital computer;personal computer, PC, microcomputer;portable computer; ; ; ; ;;;;;
681;notebook, notebook computer;artifact, artefact;instrumentality, instrumentation;device;machine;computer, computing machine, computing device, data processor, electronic computer, information processing system;digital computer;personal computer, PC, microcomputer;portable computer; ; ; ; ;;;;;
916;web site, website, internet site, site;artifact, artefact;instrumentality, instrumentation;device;machine;computer, computing machine, computing device, data processor, electronic computer, information processing system; ; ; ; ; ; ; ;;;;;
595;harvester, reaper;artifact, artefact;instrumentality, instrumentation;device;machine;farm machine; ; ; ; ; ; ; ;;;;;
856;thresher, thrasher, threshing machine;artifact, artefact;instrumentality, instrumentation;device;machine;farm machine; ; ; ; ; ; ; ;;;;;
800;slot, one-armed bandit;artifact, artefact;instrumentality, instrumentation;device;machine;slot machine, coin machine; ; ; ; ; ; ; ;;;;;
886;vending machine;artifact, artefact;instrumentality, instrumentation;device;machine;slot machine, coin machine; ; ; ; ; ; ; ;;;;;
613;joystick;artifact, artefact;instrumentality, instrumentation;device;mechanism;control, controller; ; ; ; ; ; ; ;;;;;
844;switch, electric switch, electrical switch;artifact, artefact;instrumentality, instrumentation;device;mechanism;control, controller; ; ; ; ; ; ; ;;;;;
600;hook, claw;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device; ; ; ; ; ; ; ;;;;;
479;car wheel;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;machine, simple machine;wheel; ; ; ; ; ;;;;;
694;paddlewheel, paddle wheel;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;machine, simple machine;wheel; ; ; ; ; ;;;;;
723;pinwheel;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;machine, simple machine;wheel; ; ; ; ; ;;;;;
739;potter's wheel;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;machine, simple machine;wheel; ; ; ; ; ;;;;;
571;gas pump, gasoline pump, petrol pump, island dispenser;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;pump; ; ; ; ; ; ;;;;;
476;carousel, carrousel, merry-go-round, roundabout, whirligig;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;ride; ; ; ; ; ; ;;;;;
843;swing;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device; ; ; ; ; ; ; ;;;;;
758;reel;artifact, artefact;instrumentality, instrumentation;device;mechanism;mechanical device;winder; ; ; ; ; ; ;;;;;
753;radiator;artifact, artefact;instrumentality, instrumentation;device;mechanism; ; ; ; ; ; ; ; ;;;;;
592;hard disc, hard disk, fixed disk;artifact, artefact;instrumentality, instrumentation;device;memory device, storage device;magnetic disk, magnetic disc, disk, disc; ; ; ; ; ; ; ;;;;;
836;sunglass;artifact, artefact;instrumentality, instrumentation;device;optical device;lens, lense, lens system;converging lens, convex lens; ; ; ; ; ; ;;;;;
714;pick, plectrum, plectron;artifact, artefact;instrumentality, instrumentation;device; ; ; ; ; ; ; ; ; ;;;;;
475;car mirror;artifact, artefact;instrumentality, instrumentation;device;reflector;mirror; ; ; ; ; ; ; ;;;;;
807;solar dish, solar collector, solar furnace;artifact, artefact;instrumentality, instrumentation;device;reflector; ; ; ; ; ; ; ; ;;;;;
761;remote control, remote;artifact, artefact;instrumentality, instrumentation;device; ; ; ; ; ; ; ; ; ;;;;;
535;disk brake, disc brake;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;brake;brake system, brakes;hydraulic brake, hydraulic brakes; ; ; ; ; ;;;;;
464;buckle;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing; ; ; ; ; ; ; ;;;;;
584;hair slide;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing;clip; ; ; ; ; ; ;;;;;
616;knot;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing; ; ; ; ; ; ; ;;;;;
507;combination lock;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing;lock; ; ; ; ; ; ;;;;;
695;padlock;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing;lock; ; ; ; ; ; ;;;;;
677;nail;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing; ; ; ; ; ; ; ;;;;;
772;safety pin;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing;pin; ; ; ; ; ; ;;;;;
783;screw;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;fastener, fastening, holdfast, fixing; ; ; ; ; ; ; ;;;;;
676;muzzle;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint; ; ; ; ; ; ; ; ;;;;;
785;seat belt, seatbelt;artifact, artefact;instrumentality, instrumentation;device;restraint, constraint;safety belt, life belt, safety harness; ; ; ; ; ; ; ;;;;;
795;ski;artifact, artefact;instrumentality, instrumentation;device;runner; ; ; ; ; ; ; ; ;;;;;
902;whistle;artifact, artefact;instrumentality, instrumentation;device;signaling device; ; ; ; ; ; ; ; ;;;;;
470;candle, taper, wax light;artifact, artefact;instrumentality, instrumentation;device;source of illumination;lamp; ; ; ; ; ; ; ;;;;;
607;jack-o'-lantern;artifact, artefact;instrumentality, instrumentation;device;source of illumination;lamp;lantern; ; ; ; ; ; ;;;;;
818;spotlight, spot;artifact, artefact;instrumentality, instrumentation;device;source of illumination;lamp; ; ; ; ; ; ; ;;;;;
862;torch;artifact, artefact;instrumentality, instrumentation;device;source of illumination;light, light source; ; ; ; ; ; ; ;;;;;
678;neck brace;artifact, artefact;instrumentality, instrumentation;device;support;brace; ; ; ; ; ; ; ;;;;;
718;pier;artifact, artefact;instrumentality, instrumentation;device;support; ; ; ; ; ; ; ; ;;;;;
872;tripod;artifact, artefact;instrumentality, instrumentation;device;support;rack, stand; ; ; ; ; ; ; ;;;;;
645;maypole;artifact, artefact;instrumentality, instrumentation;device;support;structural member;upright, vertical;post; ; ; ; ; ;;;;;
674;mousetrap;artifact, artefact;instrumentality, instrumentation;device;trap; ; ; ; ; ; ; ; ;;;;;
815;spider web, spider's web;artifact, artefact;instrumentality, instrumentation;device;trap;web, entanglement; ; ; ; ; ; ; ;;;;;
596;hatchet;artifact, artefact;instrumentality, instrumentation;implement;tool;cutting implement;cutter, cutlery, cutting tool;edge tool;ax, axe; ; ; ; ;;;;hatchet;tool
499;cleaver, meat cleaver, chopper;artifact, artefact;instrumentality, instrumentation;implement;tool;cutting implement;cutter, cutlery, cutting tool;edge tool;knife; ; ; ; ;;;;cleaver;tool
623;letter opener, paper knife, paperknife;artifact, artefact;instrumentality, instrumentation;implement;tool;cutting implement;cutter, cutlery, cutting tool;edge tool;knife; ; ; ; ;;;;letter opener;tool
726;plane, carpenter's plane, woodworking plane;artifact, artefact;instrumentality, instrumentation;implement;tool;cutting implement;cutter, cutlery, cutting tool;edge tool; ; ; ; ; ;;;;plane;tool
621;lawn mower, mower;artifact, artefact;instrumentality, instrumentation;implement;tool;garden tool, lawn tool; ; ; ; ; ; ; ;;;;mower;tool
587;hammer;artifact, artefact;instrumentality, instrumentation;implement;tool;hand tool; ; ; ; ; ; ; ;;;;hammer;tool
512;corkscrew, bottle screw;artifact, artefact;instrumentality, instrumentation;implement;tool;hand tool;opener;bottle opener; ; ; ; ; ;;;;corkscrew;tool
473;can opener, tin opener;artifact, artefact;instrumentality, instrumentation;implement;tool;hand tool;opener; ; ; ; ; ; ;;;;can opener;tool
